filepath,breed
data/raw/affenpinscher/test_001.jpg,affenpinscher
data/raw/affenpinscher/0012.jpg,affenpinscher
data/raw/affenpinscher/0006.jpg,affenpinscher
data/raw/affenpinscher/0007.jpg,affenpinscher
data/raw/affenpinscher/0013.jpg,affenpinscher
data/raw/affenpinscher/0005.jpg,affenpinscher
data/raw/affenpinscher/0011.jpg,affenpinscher
data/raw/affenpinscher/0039.jpg,affenpinscher
data/raw/affenpinscher/0038.jpg,affenpinscher
data/raw/affenpinscher/0010.jpg,affenpinscher
data/raw/affenpinscher/0004.jpg,affenpinscher
data/raw/affenpinscher/0028.jpg,affenpinscher
data/raw/affenpinscher/0014.jpg,affenpinscher
data/raw/affenpinscher/0015.jpg,affenpinscher
data/raw/affenpinscher/0001.jpg,affenpinscher
data/raw/affenpinscher/0029.jpg,affenpinscher
data/raw/affenpinscher/0017.jpg,affenpinscher
data/raw/affenpinscher/0003.jpg,affenpinscher
data/raw/affenpinscher/0002.jpg,affenpinscher
data/raw/affenpinscher/0016.jpg,affenpinscher
data/raw/affenpinscher/0033.jpg,affenpinscher
data/raw/affenpinscher/0027.jpg,affenpinscher
data/raw/affenpinscher/0026.jpg,affenpinscher
data/raw/affenpinscher/0032.jpg,affenpinscher
data/raw/affenpinscher/0024.jpg,affenpinscher
data/raw/affenpinscher/0030.jpg,affenpinscher
data/raw/affenpinscher/0018.jpg,affenpinscher
data/raw/affenpinscher/0019.jpg,affenpinscher
data/raw/affenpinscher/0031.jpg,affenpinscher
data/raw/affenpinscher/0025.jpg,affenpinscher
data/raw/affenpinscher/0009.jpg,affenpinscher
data/raw/affenpinscher/0021.jpg,affenpinscher
data/raw/afghan_hound/0012.jpg,afghan_hound
data/raw/afghan_hound/0006.jpg,afghan_hound
data/raw/afghan_hound/0007.jpg,afghan_hound
data/raw/afghan_hound/0013.jpg,afghan_hound
data/raw/afghan_hound/0005.jpg,afghan_hound
data/raw/afghan_hound/0011.jpg,afghan_hound
data/raw/afghan_hound/0039.jpg,afghan_hound
data/raw/afghan_hound/0038.jpg,afghan_hound
data/raw/afghan_hound/0010.jpg,afghan_hound
